jumpsize,sol_seed,seed,nnsize,orig_fit,perturbed_fit,perturbed_fit-div-orig_fit,orig_beer_fit,perturbed_beer_fit,perturbed_beer_fit-div-orig_beer_fit,perf_bias,perf_upd_rate,recovered_fitness,timed_passed,learning_duration,recover-div-orig,
1.6,0,0,2,0.7211,0.5933,0.8227,0.7710,0.6729,0.8728,0.05,0.03,0.2325,500.0,500,0.3225
1.7,0,0,2,0.7211,0.5737,0.7955,0.7710,0.6638,0.8610,0.05,0.03,0.1768,500.0,500,0.2452
1.8,0,0,2,0.7211,0.5545,0.7689,0.7710,0.6487,0.8414,0.05,0.03,0.1405,500.0,500,0.1949
1.9,0,0,2,0.7211,0.5341,0.7406,0.7710,0.6329,0.8209,0.05,0.03,0.2725,500.0,500,0.3779
2.0,0,0,2,0.7211,0.5193,0.7202,0.7710,0.6178,0.8013,0.05,0.03,0.1507,500.0,500,0.2090
2.1,0,0,2,0.7211,0.5006,0.6942,0.7710,0.6031,0.7823,0.05,0.03,0.2717,500.0,500,0.3768
2.2,0,0,2,0.7211,0.4813,0.6674,0.7710,0.5863,0.7605,0.05,0.03,0.3423,500.0,500,0.4747
2.3,0,0,2,0.7211,0.4706,0.6526,0.7710,0.5624,0.7295,0.05,0.03,0.2417,500.0,500,0.3352
2.4,0,0,2,0.7211,0.4561,0.6325,0.7710,0.5512,0.7149,0.05,0.03,0.2710,500.0,500,0.3758
2.5,0,0,2,0.7211,0.4406,0.6109,0.7710,0.5251,0.6811,0.05,0.03,0.1297,500.0,500,0.1799
2.6,0,0,2,0.7211,0.4316,0.5985,0.7710,0.5148,0.6677,0.05,0.03,0.2542,500.0,500,0.3525
2.7,0,0,2,0.7211,0.4257,0.5903,0.7710,0.4858,0.6301,0.05,0.03,0.2896,500.0,500,0.4016
2.8,0,0,2,0.7211,0.4023,0.5579,0.7710,0.4727,0.6132,0.05,0.03,0.2713,500.0,500,0.3763
2.9,0,0,2,0.7211,0.3506,0.4862,0.7710,0.4414,0.5725,0.05,0.03,0.2740,500.0,500,0.3800
3.0,0,0,2,0.7211,0.3075,0.4265,0.7710,0.4237,0.5495,0.05,0.03,0.3325,500.0,500,0.4611
3.1,0,0,2,0.7211,0.2790,0.3869,0.7710,0.3801,0.4930,0.05,0.03,0.2545,500.0,500,0.3530
3.2,0,0,2,0.7211,0.2510,0.3480,0.7710,0.3586,0.4651,0.05,0.03,0.4756,500.0,500,0.6596
3.3,0,0,2,0.7211,0.2386,0.3309,0.7710,0.3186,0.4132,0.05,0.03,0.3050,500.0,500,0.4229
3.4,0,0,2,0.7211,0.2310,0.3204,0.7710,0.2512,0.3258,0.05,0.03,0.3572,500.0,500,0.4954
3.5,0,0,2,0.7211,0.0834,0.1157,0.7710,0.1865,0.2419,0.05,0.03,0.2867,500.0,500,0.3975
3.6,0,0,2,0.7211,0.0563,0.0781,0.7710,0.1022,0.1325,0.05,0.03,0.5012,500.0,500,0.6950
3.7,0,0,2,0.7211,0.0539,0.0747,0.7710,0.0000,0.0000,0.05,0.03,0.5159,500.0,500,0.7154
3.8,0,0,2,0.7211,0.0528,0.0733,0.7710,0.0000,0.0000,0.05,0.03,0.1353,500.0,500,0.1877
3.9,0,0,2,0.7211,0.0522,0.0724,0.7710,0.0000,0.0000,0.05,0.03,0.2955,500.0,500,0.4098
4.0,0,0,2,0.7211,0.0518,0.0718,0.7710,0.0000,0.0000,0.05,0.03,0.3471,500.0,500,0.4813
4.1,0,0,2,0.7211,0.0515,0.0714,0.7710,0.0000,0.0000,0.05,0.03,0.3142,500.0,500,0.4357
4.2,0,0,2,0.7211,0.0513,0.0712,0.7710,0.0000,0.0000,0.05,0.03,0.2548,500.0,500,0.3533
4.3,0,0,2,0.7211,0.0512,0.0709,0.7710,0.0000,0.0000,0.05,0.03,0.1497,500.0,500,0.2076
4.4,0,0,2,0.7211,0.0510,0.0708,0.7710,0.0000,0.0000,0.05,0.03,0.2678,500.0,500,0.3713
4.5,0,0,2,0.7211,0.0510,0.0707,0.7710,0.0000,0.0000,0.05,0.03,0.2553,500.0,500,0.3540
4.6,0,0,2,0.7211,0.0509,0.0706,0.7710,0.0000,0.0000,0.05,0.03,0.2394,500.0,500,0.3319
4.7,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,0.05,0.03,0.5262,500.0,500,0.7297
4.8,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,0.05,0.03,0.5530,500.0,500,0.7669
4.9,0,0,2,0.7211,0.0508,0.0704,0.7710,0.0000,0.0000,0.05,0.03,0.3967,500.0,500,0.5501
0.1,0,0,2,0.7211,0.7177,0.9953,0.7710,0.7772,1.0081,0.05,0.03,0.6153,500.0,500,0.8532
0.2,0,0,2,0.7211,0.7131,0.9889,0.7710,0.7796,1.0112,0.05,0.03,0.6117,500.0,500,0.8482
0.3,0,0,2,0.7211,0.7072,0.9808,0.7710,0.7798,1.0115,0.05,0.03,0.5743,500.0,500,0.7964
0.4,0,0,2,0.7211,0.7006,0.9715,0.7710,0.7788,1.0102,0.05,0.03,0.4868,500.0,500,0.6750
0.5,0,0,2,0.7211,0.6927,0.9606,0.7710,0.7759,1.0064,0.05,0.03,0.4928,500.0,500,0.6833
0.6,0,0,2,0.7211,0.6851,0.9500,0.7710,0.7721,1.0014,0.05,0.03,0.4668,500.0,500,0.6474
0.7,0,0,2,0.7211,0.6791,0.9418,0.7710,0.7669,0.9947,0.05,0.03,0.2850,500.0,500,0.3953
0.8,0,0,2,0.7211,0.6728,0.9330,0.7710,0.7598,0.9855,0.05,0.03,0.5910,500.0,500,0.8196
0.9,0,0,2,0.7211,0.6628,0.9192,0.7710,0.7529,0.9766,0.05,0.03,0.5965,500.0,500,0.8272
1.0,0,0,2,0.7211,0.6519,0.9040,0.7710,0.7430,0.9637,0.05,0.03,0.1682,500.0,500,0.2333
1.1,0,0,2,0.7211,0.6433,0.8921,0.7710,0.7320,0.9495,0.05,0.03,0.4523,500.0,500,0.6272
1.2,0,0,2,0.7211,0.6334,0.8783,0.7710,0.7244,0.9395,0.05,0.03,0.2161,500.0,500,0.2997
1.3,0,0,2,0.7211,0.6216,0.8620,0.7710,0.7130,0.9248,0.05,0.03,0.1307,500.0,500,0.1813
1.4,0,0,2,0.7211,0.6126,0.8495,0.7710,0.7026,0.9112,0.05,0.03,0.2789,500.0,500,0.3868
1.5,0,0,2,0.7211,0.6055,0.8397,0.7710,0.6885,0.8930,0.05,0.03,0.1887,500.0,500,0.2616
1.6,0,0,2,0.7211,0.5933,0.8227,0.7710,0.6729,0.8728,0.05,0.03,0.2325,500.0,500,0.3225
1.7,0,0,2,0.7211,0.5737,0.7955,0.7710,0.6638,0.8610,0.05,0.03,0.1768,500.0,500,0.2452
1.8,0,0,2,0.7211,0.5545,0.7689,0.7710,0.6487,0.8414,0.05,0.03,0.1405,500.0,500,0.1949
1.9,0,0,2,0.7211,0.5341,0.7406,0.7710,0.6329,0.8209,0.05,0.03,0.2725,500.0,500,0.3779
2.0,0,0,2,0.7211,0.5193,0.7202,0.7710,0.6178,0.8013,0.05,0.03,0.1507,500.0,500,0.2090
2.1,0,0,2,0.7211,0.5006,0.6942,0.7710,0.6031,0.7823,0.05,0.03,0.2717,500.0,500,0.3768
2.2,0,0,2,0.7211,0.4813,0.6674,0.7710,0.5863,0.7605,0.05,0.03,0.3423,500.0,500,0.4747
2.3,0,0,2,0.7211,0.4706,0.6526,0.7710,0.5624,0.7295,0.05,0.03,0.2417,500.0,500,0.3352
2.4,0,0,2,0.7211,0.4561,0.6325,0.7710,0.5512,0.7149,0.05,0.03,0.2710,500.0,500,0.3758
2.5,0,0,2,0.7211,0.4406,0.6109,0.7710,0.5251,0.6811,0.05,0.03,0.1297,500.0,500,0.1799
2.6,0,0,2,0.7211,0.4316,0.5985,0.7710,0.5148,0.6677,0.05,0.03,0.2542,500.0,500,0.3525
